Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-04-29,2016,4,29,Friday,17,2016-17,70.6,71.47,70.1,71.47,4506100,52.36,0.0061946234430785285,52.403571428571425,52.757400000000004
2016-05-02,2016,5,2,Monday,18,2016-18,71.7,72.47,71.5,72.1,3025200,52.82,0.00881473558234025,52.34499999999999,52.8062
2016-05-03,2016,5,3,Tuesday,18,2016-18,71.87,72.3,71.42,71.94,3919300,52.7,-0.002219023105501372,52.300000000000004,52.8342
2016-05-04,2016,5,4,Wednesday,18,2016-18,70.41,73.02,70.41,72.78,3191100,53.32,0.01167619633022654,52.30428571428571,52.8724
2016-05-05,2016,5,5,Thursday,18,2016-18,72.69,73.34,71.64,71.99,2697800,52.74,-0.010854725376463925,52.24928571428571,52.8942
2016-05-06,2016,5,6,Friday,18,2016-18,72.11,72.22,70.57,71.27,2379900,52.21,-0.010001406142586378,52.16571428571428,52.8966
2016-05-09,2016,5,9,Monday,19,2016-19,71.41,71.64,71.02,71.48,2059600,52.36,0.0029467838541494817,52.095000000000006,52.928200000000004
2016-05-10,2016,5,10,Tuesday,19,2016-19,71.73,71.87,71.38,71.52,1702100,52.39,0.0005594765048277939,52.11785714285714,52.961800000000004
2016-05-11,2016,5,11,Wednesday,19,2016-19,71.63,71.86,70.87,71.72,1837300,52.54,0.0027967648304692005,52.23357142857144,52.998000000000005
2016-05-12,2016,5,12,Thursday,19,2016-19,71.64,72.39,71.42,72.28,2509700,52.95,0.007807837983459409,52.35,53.0494
2016-05-13,2016,5,13,Friday,19,2016-19,72.26,72.44,71.62,72.09,1723500,52.81,-0.0026286764043729205,52.448571428571434,53.0802
2016-05-16,2016,5,16,Monday,20,2016-20,72.01,72.35,71.52,72.22,1513700,52.91,0.0018034908614124046,52.57,53.1038
2016-05-17,2016,5,17,Tuesday,20,2016-20,72.04,72.27,70.75,71.08,2309800,52.07,-0.01578523104743379,52.58714285714286,53.1018
2016-05-18,2016,5,18,Wednesday,20,2016-20,70.6,71.24,69.31,69.61,3446900,50.99,-0.020681009158699193,52.51214285714286,53.0708
2016-05-19,2016,5,19,Thursday,20,2016-20,69.27,70.9,68.71,70.88,2902100,51.93,0.018244465757365713,52.48142857142857,53.053000000000004
